00:02.633  render           | Time: 00:00.06 (Saving: 00:00.00)
00:02.633  render           | Rendering frame 38
00:02.634  render           | Executing sequencer
00:02.690  render           | Video append frame 38
00:02.690  render           | Time: 00:00.05 (Saving: 00:00.01)
00:02.690  render           | Rendering frame 39
00:02.691  render           | Executing sequencer
00:02.740  render           | Video append frame 39
00:02.740  render           | Time: 00:00.04 (Saving: 00:00.00)
00:02.740  render           | Rendering frame 40
00:02.741  render           | Executing sequencer
00:02.782  render           | Video append frame 40
00:02.783  render           | Time: 00:00.04 (Saving: 00:00.00)
00:02.783  render           | Rendering frame 41
00:02.783  render           | Executing sequencer
00:02.823  render           | Video append frame 41
00:02.823  render           | Time: 00:00.03 (Saving: 00:00.00)
00:02.823  render           | Rendering frame 42
00:02.824  render           | Executing sequencer
00:02.873  render           | Video append frame 42
00:02.873  render           | Time: 00:00.04 (Saving: 00:00.00)
00:02.873  render           | Rendering frame 43
00:02.874  render           | Executing sequencer
00:02.920  render           | Video append frame 43
00:02.922  render           | Time: 00:00.04 (Saving: 00:00.00)
00:02.922  render           | Rendering frame 44
00:02.923  render           | Executing sequencer
00:02.972  render           | Video append frame 44
00:02.972  render           | Time: 00:00.04 (Saving: 00:00.00)
00:02.972  render           | Rendering frame 45
00:02.973  render           | Executing sequencer
00:03.019  render           | Video append frame 45
00:03.019  render           | Time: 00:00.04 (Saving: 00:00.00)
00:03.019  render           | Rendering frame 46
00:03.020  render           | Executing sequencer
00:03.072  render           | Video append frame 46
00:03.072  render           | Time: 00:00.05 (Saving: 00:00.00)
00:03.072  render           | Rendering frame 47
00:03.073  render           | Executing sequencer
00:03.123  render           | Video append frame 47
00:03.123  render           | Time: 00:00.05 (Saving: 00:00.01)
00:03.123  render           | Rendering frame 48
00:03.124  render           | Executing sequencer
00:03.176  render           | Video append frame 48
00:03.176  render           | Time: 00:00.05 (Saving: 00:00.00)
00:03.176  render           | Rendering frame 49
00:03.177  render           | Executing sequencer
00:03.213  render           | Video append frame 49
00:03.213  render           | Time: 00:00.03 (Saving: 00:00.00)
00:03.213  render           | Rendering frame 50
00:03.214  render           | Executing sequencer
00:03.250  render           | Video append frame 50
00:03.251  render           | Time: 00:00.03 (Saving: 00:00.00)
00:03.251  render           | Rendering frame 51
00:03.252  render           | Executing sequencer
00:03.284  render           | Video append frame 51
00:03.285  render           | Time: 00:00.03 (Saving: 00:00.00)
00:03.285  render           | Rendering frame 52
00:03.286  render           | Executing sequencer
00:03.331  render           | Video append frame 52
00:03.331  render           | Time: 00:00.04 (Saving: 00:00.00)
00:03.331  render           | Rendering frame 53
00:03.333  render           | Executing sequencer
00:03.369  render           | Video append frame 53
00:03.369  render           | Time: 00:00.03 (Saving: 00:00.00)
00:03.369  render           | Rendering frame 54
00:03.370  render           | Executing sequencer
00:03.409  render           | Video append frame 54
00:03.409  render           | Time: 00:00.03 (Saving: 00:00.00)
00:03.409  render           | Rendering frame 55
00:03.409  render           | Executing sequencer
00:03.450  render           | Video append frame 55
00:03.450  render           | Time: 00:00.04 (Saving: 00:00.00)
00:03.450  render           | Rendering frame 56
00:03.451  render           | Executing sequencer
00:03.509  render           | Video append frame 56
00:03.509  render           | Time: 00:00.05 (Saving: 00:00.00)
00:03.509  render           | Rendering frame 57
00:03.510  render           | Executing sequencer
00:03.556  render           | Video append frame 57
00:03.556  render           | Time: 00:00.04 (Saving: 00:00.00)
00:03.556  render           | Rendering frame 58
00:03.556  render           | Executing sequencer
00:03.589  render           | Video append frame 58
00:03.589  render           | Time: 00:00.03 (Saving: 00:00.00)
00:03.589  render           | Rendering frame 59
00:03.590  render           | Executing sequencer
00:03.614  render           | Video append frame 59
00:03.614  render           | Time: 00:00.02 (Saving: 00:00.00)
00:03.615  render           | Rendering frame 60
00:03.616  render           | Executing sequencer
00:03.644  render           | Video append frame 60
00:03.644  render           | Time: 00:00.02 (Saving: 00:00.00)
00:03.644  render           | Rendering frame 61
00:03.645  render           | Executing sequencer
00:03.860  render           | Video append frame 61
00:03.861  render           | Time: 00:00.21 (Saving: 00:00.01)
00:03.861  render           | Rendering frame 62
00:03.863  render           | Executing sequencer
00:03.923  render           | Video append frame 62
00:03.923  render           | Time: 00:00.06 (Saving: 00:00.02)
00:03.923  render           | Rendering frame 63
00:03.924  render           | Executing sequencer
00:03.952  render           | Video append frame 63
00:03.952  render           | Time: 00:00.02 (Saving: 00:00.00)
00:03.952  render           | Rendering frame 64
00:03.953  render           | Executing sequencer
00:03.994  render           | Video append frame 64
00:03.994  render           | Time: 00:00.04 (Saving: 00:00.01)
00:03.994  render           | Rendering frame 65
00:03.994  render           | Executing sequencer
00:04.041  render           | Video append frame 65
00:04.041  render           | Time: 00:00.04 (Saving: 00:00.01)
00:04.041  render           | Rendering frame 66
00:04.041  render           | Executing sequencer
00:04.085  render           | Video append frame 66
00:04.085  render           | Time: 00:00.04 (Saving: 00:00.00)
00:04.085  render           | Rendering frame 67
00:04.090  render           | Executing sequencer
00:04.180  render           | Video append frame 67
00:04.180  render           | Time: 00:00.08 (Saving: 00:00.02)
00:04.180  render           | Rendering frame 68
00:04.181  render           | Executing sequencer
00:04.219  render           | Video append frame 68
00:04.219  render           | Time: 00:00.03 (Saving: 00:00.02)
00:04.219  render           | Rendering frame 69
00:04.220  render           | Executing sequencer
00:04.263  render           | Video append frame 69
00:04.263  render           | Time: 00:00.04 (Saving: 00:00.01)
00:04.263  render           | Rendering frame 70
00:04.264  render           | Executing sequencer
00:04.386  render           | Video append frame 70
00:04.386  render           | Time: 00:00.12 (Saving: 00:00.09)
00:04.386  render           | Rendering frame 71
00:04.389  render           | Executing sequencer
00:04.474  render           | Video append frame 71
00:04.474  render           | Time: 00:00.08 (Saving: 00:00.04)
00:04.474  render           | Rendering frame 72
00:04.475  render           | Executing sequencer
00:04.527  render           | Video append frame 72
00:04.527  render           | Time: 00:00.05 (Saving: 00:00.00)
00:04.568  render           | Rendering frame 73
00:04.573  render           | Executing sequencer
00:04.725  render           | Video append frame 73
00:04.725  render           | Time: 00:00.15 (Saving: 00:00.02)
00:04.725  render           | Rendering frame 74
00:04.730  render           | Executing sequencer
00:04.764  render           | Video append frame 74
00:04.764  render           | Time: 00:00.03 (Saving: 00:00.01)
00:04.764  render           | Rendering frame 75
00:04.765  render           | Executing sequencer
00:04.809  render           | Video append frame 75
00:04.809  render           | Time: 00:00.04 (Saving: 00:00.01)
00:04.809  render           | Rendering frame 76
00:04.810  render           | Executing sequencer
00:04.926  render           | Video append frame 76
00:04.926  render           | Time: 00:00.11 (Saving: 00:00.01)
00:04.926  render           | Rendering frame 77
00:04.927  render           | Executing sequencer
00:05.025  render           | Video append frame 77
